simulation_id,result,total_turns,victims_rescued,victims_lost,structural_damage
1,DERROTA_ESTRUCTURAL,15,3,3,26
2,DERROTA_ESTRUCTURAL,13,1,3,24
3,DERROTA_VICTIMAS,6,2,4,2
4,DERROTA_ESTRUCTURAL,13,1,3,26
5,DERROTA_ESTRUCTURAL,10,1,3,24
6,DERROTA_VICTIMAS,9,3,4,19
7,DERROTA_VICTIMAS,9,1,4,21
8,DERROTA_VICTIMAS,11,2,4,23
9,DERROTA_VICTIMAS,12,2,4,16
10,DERROTA_VICTIMAS,4,1,4,3
11,DERROTA_VICTIMAS,8,2,4,10
12,DERROTA_ESTRUCTURAL,13,3,3,25
13,DERROTA_VICTIMAS,6,2,4,3
14,DERROTA_VICTIMAS,7,1,4,8
15,DERROTA_VICTIMAS,12,2,4,21
16,DERROTA_VICTIMAS,7,3,4,4
17,DERROTA_VICTIMAS,10,4,4,12
18,DERROTA_ESTRUCTURAL,12,1,2,25
19,DERROTA_VICTIMAS,6,2,4,5
20,DERROTA_VICTIMAS,10,4,4,9
21,DERROTA_ESTRUCTURAL,10,5,1,24
22,DERROTA_ESTRUCTURAL,13,2,2,26
23,DERROTA_ESTRUCTURAL,13,1,3,28
24,DERROTA_ESTRUCTURAL,14,2,2,25
25,DERROTA_VICTIMAS,6,1,4,10
26,DERROTA_VICTIMAS,10,3,4,12
27,DERROTA_VICTIMAS,6,2,5,3
28,DERROTA_VICTIMAS,5,2,4,4
29,DERROTA_ESTRUCTURAL,13,3,3,27
30,DERROTA_ESTRUCTURAL,14,2,1,25
31,DERROTA_ESTRUCTURAL,16,2,3,25
32,DERROTA_VICTIMAS,8,4,4,6
33,DERROTA_ESTRUCTURAL,13,1,3,25
34,DERROTA_ESTRUCTURAL,12,3,3,30
35,DERROTA_VICTIMAS,7,2,4,3
36,DERROTA_VICTIMAS,10,2,4,11
37,DERROTA_VICTIMAS,8,2,4,8
38,DERROTA_VICTIMAS,10,2,4,17
39,DERROTA_VICTIMAS,10,2,5,19
40,DERROTA_ESTRUCTURAL,13,2,1,24
41,DERROTA_ESTRUCTURAL,12,3,3,24
42,DERROTA_VICTIMAS,7,2,4,8
43,DERROTA_VICTIMAS,11,3,4,11
44,DERROTA_ESTRUCTURAL,14,1,3,25
45,DERROTA_ESTRUCTURAL,15,4,3,25
46,DERROTA_ESTRUCTURAL,12,2,1,26
47,DERROTA_ESTRUCTURAL,14,4,3,24
48,DERROTA_VICTIMAS,5,1,4,1
49,DERROTA_VICTIMAS,11,3,4,21
50,DERROTA_VICTIMAS,12,4,4,18
51,DERROTA_VICTIMAS,7,2,4,6
52,DERROTA_VICTIMAS,10,2,4,12
53,DERROTA_ESTRUCTURAL,15,1,3,25
54,DERROTA_VICTIMAS,8,2,4,11
55,DERROTA_VICTIMAS,12,3,4,15
56,DERROTA_ESTRUCTURAL,13,2,3,25
57,DERROTA_VICTIMAS,8,1,4,8
58,DERROTA_ESTRUCTURAL,15,1,1,25
59,DERROTA_ESTRUCTURAL,16,4,2,26
60,DERROTA_VICTIMAS,8,1,4,9
61,DERROTA_VICTIMAS,12,5,4,21
62,DERROTA_ESTRUCTURAL,14,3,1,27
63,DERROTA_VICTIMAS,7,1,4,3
64,DERROTA_VICTIMAS,8,3,4,0
65,DERROTA_ESTRUCTURAL,14,1,1,24
66,DERROTA_ESTRUCTURAL,12,2,2,29
67,DERROTA_ESTRUCTURAL,12,1,2,26
68,DERROTA_ESTRUCTURAL,13,1,1,26
69,DERROTA_ESTRUCTURAL,14,2,1,26
70,DERROTA_ESTRUCTURAL,13,5,2,26
71,DERROTA_ESTRUCTURAL,14,4,2,26
72,DERROTA_VICTIMAS,11,2,4,18
73,DERROTA_ESTRUCTURAL,15,2,2,25
74,DERROTA_VICTIMAS,10,3,4,12
75,DERROTA_ESTRUCTURAL,13,3,2,25
76,DERROTA_ESTRUCTURAL,14,3,1,26
77,DERROTA_ESTRUCTURAL,12,2,1,24
78,DERROTA_VICTIMAS,6,1,4,5
79,DERROTA_ESTRUCTURAL,12,1,3,25
80,DERROTA_VICTIMAS,8,4,4,9
81,DERROTA_VICTIMAS,16,3,4,21
82,DERROTA_ESTRUCTURAL,11,1,3,25
83,DERROTA_VICTIMAS,8,2,4,12
84,DERROTA_VICTIMAS,6,1,4,2
85,DERROTA_ESTRUCTURAL,11,1,3,27
86,DERROTA_VICTIMAS,8,2,4,14
87,DERROTA_ESTRUCTURAL,15,3,2,25
88,DERROTA_VICTIMAS,11,3,4,20
89,DERROTA_VICTIMAS,7,2,4,4
90,DERROTA_ESTRUCTURAL,12,3,1,24
91,DERROTA_VICTIMAS,6,1,4,11
92,DERROTA_VICTIMAS,7,3,4,9
93,DERROTA_ESTRUCTURAL,17,4,3,25
